"","country","year","v2csantimv","v2svstterr","v2svinlaut","v2clrgunev","e_Fiscal_Reliance","e_Civil_War","e_miinterc","v2csanmvch_9","v2clsocgrp","v2pepwrsoc","inflation","inflationm1","inflationm2","inflationm3","inflatavg","debt","debtm1","debtm2","debtm3","debtavg","ctrySize","popDensity","national","trust1","trust2"
"48","Cyprus",2006,-1.04124677372249,67.4285714285714,0.0182054854237849,-0.779680730093525,NA,0,NA,0.4,0.908255669657515,0.95154078571911,2.495874931,2.558451986,2.286217068,4.139065387,2.994578147,NA,NA,NA,NA,NA,96.1769203083567,113.150324675325,1.48190476190476,1.82380952380952,1.90857142857143
"49","Cyprus",2011,-1.04124677372249,67.4285714285714,0.0182054854237849,-0.779680730093525,NA,NA,NA,0.4,1.24256170796358,0.954976157639679,3.289449396,2.381258363,0.374079976,4.669171081,2.47483647333333,NA,NA,NA,NA,NA,96.1769203083567,121.73538961039,1.438,1.874,1.77
"50","Dominican Republic",1996,-1.03685348185608,98.8888888888889,1.20288381627122,-0.839385486937426,NA,0,0,0,-0.911756331656597,1.15447885761021,5.39929385,12.53595946,8.260767986,5.250338807,8.68235541766667,4.414761,4.532952,4.366322,4.957326,4.61886666666667,220.612782947861,166.199813703167,1.19424460431655,1.60431654676259,NA
"51","Ecuador",2013,-1.92522839065862,99.5,1.50261693214232,0.213599313691955,NA,NA,NA,0.5,0.529143570611129,1.11076128266967,2.738631757,5.10065348,4.474553859,3.556123806,4.37711038166667,18.618706,16.400364,15.898725,15.045683,15.7815906666667,506.329931961364,63.0598606861008,1.0981697171381,1.92262895174709,1.47171381031614
"52","El Salvador",1999,-0.963374832041189,95.3333333333333,1.30260817148424,0.993913352835613,NA,0,0,0,-0.273197597274432,0.901918534024517,0.51482713,2.547059776,4.490136279,9.788920402,5.60870548566667,3.762996,3.310665,3.203307,2.872514,3.12882866666667,145.05171491575,281.138368725869,1.16826156299841,1.75358851674641,NA
"53","Estonia",1996,-1.87943357624835,100,1.84690275300089,2.40929550818628,NA,0,0,0,1.68942258283357,1.20342197844163,23.05034335,28.77661372,47.65469062,89.81194903,55.41441779,NA,NA,NA,NA,NA,212.673458616725,33.3945270110875,1.05386875612145,1.72477962781587,NA
"54","Estonia",2011,-2.12762361211992,100,1.84690275300089,2.55969761823454,NA,NA,NA,0.142857142857143,1.68942258283357,1.35363290326785,4.977614784,2.975580329,-0.084776494,10.36560303,4.41880228833333,NA,NA,NA,NA,NA,212.673458616725,31.3149091766926,2.04044357469015,1.53228962818004,2.05022831050228
"55","Ethiopia",2007,-0.854818921805054,93,1.67204775483014,-1.19502836355828,NA,NA,NA,0.4,0.101573274888811,-1.44906848803347,17.23800196,12.31,12.94487921,3.256272907,9.50371737233333,2.655245,2.280741,6.229313,6.624003,5.04468566666667,1050.85679328822,81.000409,1.34333333333333,1.36,1.60533333333333
"56","Finland",1981,-0.434291110502401,99.125,0.103048794904146,2.1189746400257,NA,0,0,0,2.66614031349714,2.52458627751042,12.00773445,11.59461987,7.466955245,7.799350054,8.953641723,NA,NA,NA,NA,NA,581.506663762334,15.7587708066581,1.72681954137587,1.35992023928215,NA
"57","Finland",1996,-1.20762143472387,99.125,1.53320095213048,2.1189746400257,NA,0,0,0,2.66614031349714,2.04137407251065,0.616615282,0.985221675,1.085913127,2.101071975,1.39073559233333,NA,NA,NA,NA,NA,581.506663762334,16.8244952230868,1.61499493414387,1.4660587639311,NA
"58","Finland",2005,-1.20762143472387,99.125,1.53320095213048,2.1189746400257,NA,0,NA,0,2.66614031349714,2.04137407251065,0.861059229,0.187123375,0.877438551,1.562144598,0.875568841333333,NA,NA,NA,NA,NA,581.506663762334,17.2234676122,1.45562130177515,1.37869822485207,2.16568047337278
"59","France",2006,-1.33837668452832,94.1428571428571,1.65945357924746,1.92016728773581,NA,0,NA,0.3,1.78956704490788,1.56531858607397,1.68372645,1.735587081,2.134874759,2.109073739,1.99317852633333,NA,NA,NA,NA,NA,741.004048571936,116.191338983887,1.68631368631369,1.7952047952048,NA
"60","Georgia",1996,1.42215615219291,79.2,-0.0807089685542204,-0.916184396687936,NA,0,0,0.25,0.680262034509437,0.305446172327776,39.3575,162.7171522,NA,NA,162.7171522,1.361321,1.240357,1.450018,0.558987,1.08312066666667,264.007575648882,80.7603485076455,1.38097609561753,1.65737051792829,NA
