;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Interest Rates selected indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Financial, Interest Rates, Monetary Policy-Related Interest Rate, Percent per annum;"getSelectionEl(0,6,""Indicator"")";"getSelectionEl(0,6,""Indicator"")";"getSelectionEl(0,6,""Indicator"")";;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Source: International Financial Statistics (IFS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Country;Scale;Base Year;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017Q1
;Guatemala;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;4,25;5,00;6,50;7,25;4,50;4,50;5,50;5,00;5,00;4,00;3,00;3,00;3,00
;Guyana;Units;;30,00;32,50;24,30;17,00;20,25;17,25;12,00;11,00;11,25;13,25;11,75;8,75;6,25;5,50;6,00;6,00;6,75;6,50;6,75;6,75;6,25;5,50;5,25;5,00;5,00;5,00;5,00;5,00
;Honduras;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;6,00;7,50;7,75;4,50;4,50;5,50;7,00;7,00;7,00;6,25;5,50;5,50
;Jamaica;Units;;...;...;...;...;...;...;...;...;...;...;...;...;12,95;15,00;14,40;12,95;12,60;11,65;12,65;17,00;10,50;8,00;6,25;6,25;5,75;5,25;5,00;5,00
;Mexico;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;8,25;4,50;4,50;4,50;4,50;3,50;3,00;3,25;5,75;6,50
;Paraguay;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;7,25;5,50;6,00;6,75;5,75;5,50;5,50
;Peru;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;2,50;3,00;3,25;4,50;5,00;6,50;1,25;3,00;4,25;4,25;4,00;3,50;3,75;4,25;4,25
;Suriname;Units;;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;18,00;18,00;18,00;18,00;14,00;14,00;14,00;14,00;14,00;10,00;9,00;9,00;9,00;9,00;9,00;10,00;10,00;12,50;25,00;25,00
;Trinidad and Tobago;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,25;4,75;4,75;4,75
;Uruguay;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;6,25;6,50;8,75;9,00;...;...;...;...;...
