"number","base_treaty","name","entry_type","full_fta","standards","investments","services","procurement","competition","iprs","depth_index","depth_rasch"
"46",46,"Argentina Peru","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
"47",47,"Argentina Uruguay","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
"48",48,"Argentina Venezuela","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
"49",49,"Argentina Venezuela","base treaty",0,1,0,0,0,0,0,1,-1.43010338995022
"51",51,"Armenia Estonia","base treaty",0,1,0,0,0,0,0,1,-1.0095554767904
"52",52,"Armenia Georgia","base treaty",1,1,0,0,0,0,0,2,-0.53527495491679
"53",53,"Armenia Iran","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
"54",54,"Armenia Kazakhstan","base treaty",1,1,0,0,0,0,0,2,-0.53527495491679
"55",55,"Armenia Kyrgyzstan","base treaty",1,1,0,0,0,0,0,2,-0.370565920730577
"56",56,"Armenia Moldova","base treaty",1,0,0,0,0,0,0,1,-0.53527495491679
"57",57,"Armenia Russia","base treaty",1,0,0,0,0,0,0,1,-0.370565920730577
"59",59,"Armenia Turkmenistan","base treaty",1,0,0,0,0,0,0,1,-0.53527495491679
"60",60,"Armenia Ukraine","base treaty",1,0,0,0,0,0,0,1,-0.53527495491679
"61",61,"Arusha Agreement II","base treaty",0,1,0,1,0,0,0,2,-0.23106409905747
"62",62,"Asia Pacific Trade Agreement (Bangkok Agreement amended)","base treaty",0,1,0,0,0,0,0,1,0.188140672867909
"63",63,"Association of Caribbean States","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
"64",64,"Association of Southeast Asian Nations (ASEAN) FTA","base treaty",1,1,0,0,0,0,0,2,-1.00955547679032
"65",65,"Association of Southeast Asian Nations (ASEAN) Preferential Trading Arrangements (PTA)","base treaty",0,0,0,0,1,0,0,1,-1.00955547679038
"76a",65,"Association of Southeast Asian Nations Services","consolidated",1,0,0,0,1,0,0,2,-0.37056592073058
"66",66,"Association of Southeast Asian Nations Australia New Zealand FTA (AANZFTA)","base treaty",1,1,1,1,0,1,1,6,1.8178293780011
"67",67,"Association of Southeast Asian Nations China","base treaty",1,1,0,0,0,0,0,2,-0.109313833128101
"68a",67,"Association of Southeast Asian Nations China Services","consolidated",1,1,0,1,0,0,0,3,0.687697327650324
"69",69,"Association of Southeast Asian Nations Goods","base treaty",1,1,0,0,0,0,0,2,0.350621385945912
"70",70,"Association of Southeast Asian Nations India","base treaty",1,1,0,0,0,0,0,2,-0.231064099057495
"71",71,"Association of Southeast Asian Nations Japan","base treaty",1,1,0,0,0,0,0,2,0.0977138215903961
"72",72,"Association of Southeast Asian Nations Korea","base treaty",1,1,0,0,0,0,0,2,-0.000736131967691003
"73a",72,"Association of Southeast Asian Nations Korea services","consolidated",1,1,0,1,0,0,0,3,0.747268409002073
